time_s,seq_id,EMG_RH_Env,EMG_LH_Env,L_Angle,R_Angle,L_Torque,R_Torque,Squat_Ph,User_intent
154.913328,15935,0.00192584,0.01099722,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
154.913328,15936,0.00191523,0.01108515,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
154.943542,15937,0.00186806,0.01076050,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
154.943542,15938,0.00166993,0.01050845,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
154.943542,15939,0.00169139,0.01009252,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
154.976917,15940,0.00161690,0.00997720,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
154.976917,15941,0.00167185,0.00990392,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
154.976917,15942,0.00231619,0.01005637,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
155.012337,15943,0.00259546,0.01031591,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
155.012337,15944,0.00239547,0.01061305,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
155.012337,15945,0.00233527,0.01124988,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
155.012337,15946,0.00235308,0.01084442,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
155.039093,15947,0.00200936,0.01155916,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
155.039093,15948,0.00176197,0.01195570,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
155.039093,15949,0.00187086,0.01211933,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
155.070537,15950,0.00211983,0.01231523,-7.33154297,-3.83789062,0.00000000,0.00000000,0.00000000,0.00000000
155.070537,15951,0.00218116,0.01198429,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.070537,15952,0.00178389,0.01195380,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.102462,15953,0.00160580,0.01259684,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.102462,15954,0.00149668,0.01248663,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.102462,15955,0.00219388,0.01123913,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.138223,15956,0.00207916,0.00969335,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.138223,15957,0.00179058,0.00911544,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.138223,15958,0.00216756,0.00877264,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.164953,15959,0.00214425,0.00835823,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.164953,15960,0.00234941,0.00804320,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.164953,15961,0.00318603,0.00940803,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.164953,15962,0.00273420,0.01083504,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.199590,15963,0.00249323,0.01146808,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.199590,15964,0.00274104,0.01175912,-7.33154297,-3.81591797,0.00000000,0.00000000,0.00000000,0.00000000
155.199590,15965,0.00242495,0.01181936,-7.33154297,-3.79394531,0.00000000,0.00000000,0.00000000,0.00000000
155.229229,15966,0.00231862,0.01182613,-7.33154297,-3.79394531,0.00000000,0.00000000,0.00000000,0.00000000
155.229229,15967,0.00217087,0.01105088,-7.33154297,-3.79394531,0.00000000,0.00000000,0.00000000,0.00000000
155.229229,15968,0.00190221,0.01000757,-7.33154297,-3.79394531,0.00000000,0.00000000,0.00000000,0.00000000
155.260308,15969,0.00197697,0.00958524,-7.33154297,-3.79394531,0.00000000,0.00000000,0.00000000,0.00000000
155.260308,15970,0.00206954,0.00931892,-7.33154297,-3.79394531,0.00000000,0.00000000,0.00000000,0.00000000
155.260308,15971,0.00230756,0.01052377,-7.33154297,-3.79394531,0.00000000,0.00000000,0.00000000,0.00000000
155.291826,15972,0.00255414,0.01099811,-7.33154297,-3.79394531,0.00000000,0.00000000,0.00000000,0.00000000
155.291826,15973,0.00218384,0.01063635,-7.33154297,-3.79394531,0.00000000,0.00000000,0.00000000,0.00000000
155.291826,15974,0.00188219,0.01040151,-7.33154297,-3.79394531,0.00000000,0.00000000,0.00000000,0.00000000
155.324979,15975,0.00210150,0.01084868,-7.33154297,-3.77197266,0.00000000,0.00000000,0.00000000,0.00000000
155.324979,15976,0.00262325,0.01103838,-7.33154297,-3.77197266,0.00000000,0.00000000,0.00000000,0.00000000
155.324979,15977,0.00356781,0.01114095,-7.33154297,-3.72802734,0.00000000,0.00000000,0.00000000,0.00000000
155.361602,15978,0.00454251,0.01102859,-7.33154297,-3.70605469,0.00000000,0.00000000,0.00000000,0.00000000
155.361602,15979,0.00433088,0.01082869,-7.33154297,-3.70605469,0.00000000,0.00000000,0.00000000,0.00000000
155.361602,15980,0.00349414,0.01119681,-7.33154297,-3.68408203,0.00000000,0.00000000,0.00000000,0.00000000
155.361602,15981,0.00311535,0.01154433,-7.33154297,-3.68408203,0.00000000,0.00000000,0.00000000,0.00000000
155.387332,15982,0.00449302,0.01116348,-7.33154297,-3.68408203,0.00000000,0.00000000,0.00000000,0.00000000
155.387332,15983,0.00605358,0.01054337,-7.33154297,-3.66210938,0.00000000,0.00000000,0.00000000,0.00000000
155.387332,15984,0.00578062,0.00992828,-7.33154297,-3.64013672,0.00000000,0.00000000,0.00000000,0.00000000
155.424108,15985,0.00649407,0.00932221,-7.33154297,-3.61816406,0.00000000,0.00000000,0.00000000,0.00000000
155.424108,15986,0.00675479,0.00946596,-7.33154297,-3.57421875,0.00000000,0.00000000,0.00000000,0.00000000
155.424108,15987,0.00628216,0.01209910,-7.33154297,-3.50830078,0.00000000,0.00000000,0.00000000,0.00000000
155.450911,15988,0.00595679,0.01379299,-7.33154297,-3.39843750,0.00000000,0.00000000,0.00000000,0.00000000
155.450911,15989,0.00611306,0.01405592,-7.30957031,-3.28857422,0.00000000,0.00000000,0.00000000,0.00000000
155.450911,15990,0.00807514,0.01383974,-7.28759766,-3.13476562,0.00000000,0.00000000,0.00000000,0.00000000
155.483027,15991,0.01005115,0.01320350,-7.22167969,-2.91503906,0.00000000,0.00000000,0.00000000,0.00000000
155.483027,15992,0.00931782,0.01328093,-7.11181641,-2.71728516,0.00000000,0.00000000,0.00000000,0.00000000
155.483027,15993,0.00890590,0.01419193,-6.87011719,-2.51953125,0.00000000,0.00000000,0.00000000,0.00000000
155.514830,15994,0.01073034,0.01496751,-6.54052734,-2.27783203,0.00000000,0.00000000,0.00000000,0.00000000
155.514830,15995,0.01167094,0.01541884,-6.27685547,-2.01416016,0.00000000,0.00000000,0.00000000,0.00000000
155.514830,15996,0.01284561,0.01573369,-5.92529297,-1.72851562,0.00000000,0.00000000,0.00000000,0.00000000
155.547494,15997,0.01447741,0.01603880,-5.61767578,-1.42089844,0.00000000,0.00000000,0.00000000,0.00000000
155.547494,15998,0.01373616,0.01540209,-5.41992188,-1.04736328,0.00000000,0.00000000,0.00000000,0.00000000
155.547494,15999,0.01157824,0.01428600,-5.11230469,-0.71777344,0.00000000,0.00000000,0.00000000,0.00000000
155.547494,16000,0.01239874,0.01482308,-4.76074219,-0.36621094,0.00000000,0.00000000,0.00000000,0.00000000
