time_s,seq_id,EMG_RH_Env,EMG_LH_Env,L_Angle,R_Angle,L_Torque,R_Torque,Squat_Ph,User_intent
110.765807,11992,0.30696362,0.28649351,4.02832031,4.09423828,4.01737499,4.02196550,4.00000000,0.00000000
110.765807,11993,0.29819638,0.28305662,3.80859375,3.98437500,3.85045958,3.86270308,4.00000000,0.00000000
110.765807,11994,0.29371852,0.27976391,3.67675781,3.89648438,3.74020123,3.75550747,4.00000000,0.00000000
110.799045,11995,0.29214373,0.27399603,3.67675781,3.83056641,3.70987916,3.72059393,4.00000000,0.00000000
110.799045,11996,0.29365578,0.26545009,3.63281250,3.74267578,3.64617276,3.65382671,4.00000000,0.00000000
110.799045,11997,0.28813180,0.26001370,3.54492188,3.65478516,3.55918956,3.56684422,4.00000000,0.00000000
110.799045,11998,0.28616440,0.25675341,3.45703125,3.58886719,3.48231316,3.49149966,4.00000000,0.00000000
110.828686,11999,0.28578627,0.24847691,3.32519531,3.54492188,3.39226580,3.40757823,4.00000000,0.00000000
110.828686,12000,0.29908013,0.23732144,3.12744141,3.50097656,3.26730037,3.29333448,4.00000000,0.00000000
110.828686,12001,0.32699519,0.22851346,2.90771484,3.43505859,3.12058544,3.15734434,4.00000000,0.00000000
110.863222,12002,0.33696747,0.22006057,2.84179688,3.36914062,3.05534458,3.09210587,4.00000000,0.00000000
110.863222,12003,0.33567685,0.20880818,2.81982422,3.23730469,2.98306060,3.01216555,4.00000000,0.00000000
110.863222,12004,0.33717439,0.20063417,2.73193359,3.08349609,0.19065268,0.21516475,0.00000000,0.00000000
110.893688,12005,0.34648851,0.19266950,3.03955078,3.32519531,0.21210115,0.23201212,0.00000000,0.00000000
110.893688,12006,0.35075819,0.18185215,4.05029297,4.40185547,0.28252834,0.30700526,0.00000000,0.00000000
110.893688,12007,0.34260735,0.17260316,5.12695312,5.50048828,0.35745138,0.38341695,0.00000000,0.00000000
110.924165,12008,0.33062750,0.16318531,5.93994141,6.53320312,0.41394371,0.45511588,0.00000000,0.00000000
110.924165,12009,0.32232738,0.15546708,6.62109375,7.54394531,0.46121141,0.52514637,0.00000000,0.00000000
110.924165,12010,0.31583273,0.14927436,7.30224609,8.46679688,0.50841397,0.58894497,0.00000000,0.00000000
110.956937,12011,0.30881256,0.14275084,7.96142578,9.16992188,0.55402547,0.63745183,0.00000000,0.00000000
110.956937,12012,0.29899320,0.13886453,8.42285156,9.56542969,0.58591032,0.66469520,0.00000000,0.00000000
110.956937,12013,0.28600886,0.13468392,8.64257812,9.69726562,0.60108030,0.67376935,0.00000000,0.00000000
110.985955,12014,0.27640495,0.13259107,8.64257812,9.69726562,0.60108030,0.67376935,0.00000000,0.00000000
110.985955,12015,0.26639211,0.13233560,8.59863281,9.63134766,0.59804702,0.66923273,0.00000000,0.00000000
110.985955,12016,0.25146732,0.12955925,8.48876953,9.43359375,0.59046221,0.65561754,0.00000000,0.00000000
111.015173,12017,0.23746192,0.12749735,8.31298828,9.12597656,0.57832205,0.63442284,0.00000000,0.00000000
111.015173,12018,0.22322199,0.12256061,8.04931641,8.75244141,0.56010163,0.60866201,0.00000000,0.00000000
111.015173,12019,0.20981088,0.11529365,7.56591797,8.29101562,0.52666694,0.57680416,0.00000000,0.00000000
111.046922,12020,0.19561145,0.10828267,7.01660156,7.80761719,0.48862773,0.54338914,0.00000000,0.00000000
111.046922,12021,0.18625833,0.10114051,6.44531250,7.25830078,0.44901928,0.50537074,0.00000000,0.00000000
111.046922,12022,0.17688364,0.09386918,5.89599609,6.77490234,0.41089210,0.47187600,0.00000000,0.00000000
111.046922,12023,0.16508882,0.08818324,5.36865234,6.35742188,0.37425444,0.44292161,0.00000000,0.00000000
111.079236,12024,0.15931146,0.08541448,4.88525391,5.96191406,0.34064198,0.41546944,0.00000000,0.00000000
111.079236,12025,0.15931720,0.08087742,4.51171875,5.67626953,0.31465197,0.39563048,0.00000000,0.00000000
111.079236,12026,0.16117136,0.07693750,4.24804688,5.45654297,0.29629797,0.38036299,0.00000000,0.00000000
111.109287,12027,0.16303855,0.07265104,4.09423828,5.23681641,0.28558856,0.36508992,0.00000000,0.00000000
111.109287,12028,0.16758874,0.06893784,3.87451172,5.03906250,0.27028584,0.35133961,0.00000000,0.00000000
111.109287,12029,0.16530974,0.06658056,3.56689453,4.90722656,0.24885540,0.34217036,0.00000000,0.00000000
111.141150,12030,0.16407104,0.06396618,3.36914062,4.75341797,0.23507486,0.33147064,0.00000000,0.00000000
111.141150,12031,0.16399163,0.06144847,3.30322266,4.53369141,0.23048072,0.31618118,0.00000000,0.00000000
111.141150,12032,0.16283257,0.06069558,3.23730469,4.33593750,0.22588627,0.30241668,0.00000000,0.00000000
111.175668,12033,0.16340646,0.06085157,2.99560547,4.16015625,0.20903745,0.29017857,0.00000000,0.00000000
111.175668,12034,0.16119154,0.06095602,2.66601562,3.98437500,0.18605584,0.27793771,0.00000000,0.00000000
111.175668,12035,0.16529894,0.05952038,2.38037109,3.74267578,0.16613345,0.26110226,0.00000000,0.00000000
111.202908,12036,0.16823268,0.05894448,2.02880859,3.41308594,0.14160797,0.23813744,0.00000000,0.00000000
111.202908,12037,0.16958226,0.05786826,1.74316406,3.12744141,0.12167703,0.21822819,0.00000000,0.00000000
111.202908,12038,0.17024983,0.05808728,1.41357422,2.84179688,0.09867609,0.19831352,0.00000000,0.00000000
111.236033,12039,0.16540289,0.05726952,1.01806641,2.60009766,0.07107070,0.18145876,0.00000000,0.00000000
111.236033,12040,0.16227391,0.05719158,0.62255859,2.40234375,0.04346193,0.16766609,0.00000000,0.00000000
111.236033,12041,0.15791748,0.05718673,0.24902344,2.13867188,0.01738506,0.14927278,0.00000000,0.00000000
111.272531,12042,0.15230563,0.05676229,-0.03662109,1.78710938,0.00000000,0.12474354,0.00000000,0.00000000
111.272531,12043,0.15053409,0.05505420,-0.36621094,1.47949219,0.00000000,0.10327656,0.00000000,0.00000000
111.272531,12044,0.15353657,0.05358222,-0.62988281,1.14990234,0.00000000,0.08027294,0.00000000,0.00000000
111.299431,12045,0.14949019,0.05056999,-0.76171875,0.84228516,0.00000000,0.05880048,0.00000000,0.00000000
111.299431,12046,0.14580235,0.05004736,-0.98144531,0.49072266,0.00000000,0.03425849,0.00000000,0.00000000
111.299431,12047,0.14195730,0.05208291,-1.26708984,0.20507812,0.00000000,0.01431712,0.00000000,0.00000000
111.299431,12048,0.14512976,0.05462796,-1.46484375,-0.01464844,0.00000000,0.00000000,0.00000000,0.00000000
111.327996,12049,0.14465003,0.05883710,-1.68457031,-0.25634766,0.00000000,0.00000000,0.00000000,0.00000000
111.327996,12050,0.14422117,0.06081281,-2.01416016,-0.52001953,0.00000000,0.00000000,0.00000000,0.00000000
111.327996,12051,0.14006558,0.06061672,-2.23388672,-0.80566406,0.00000000,0.00000000,0.00000000,0.00000000
111.359087,12052,0.13512580,0.06060666,-2.47558594,-1.09130859,0.00000000,0.00000000,0.00000000,0.00000000
111.359087,12053,0.13048300,0.05910937,-2.84912109,-1.37695312,0.00000000,0.00000000,0.00000000,0.00000000
111.359087,12054,0.12603748,0.05684818,-3.17871094,-1.64062500,0.00000000,0.00000000,0.00000000,0.00000000
111.393511,12055,0.11938956,0.05550378,-3.53027344,-1.92626953,0.00000000,0.00000000,0.00000000,0.00000000
111.393511,12056,0.11616441,0.05411614,-3.81591797,-2.21191406,0.00000000,0.00000000,0.00000000,0.00000000
111.393511,12057,0.11125899,0.05083894,-4.07958984,-2.43164062,0.00000000,0.00000000,0.00000000,0.00000000
111.424062,12058,0.10321141,0.04929238,-4.43115234,-2.65136719,0.00000000,0.00000000,0.00000000,0.00000000
111.424062,12059,0.09733750,0.04694896,-4.67285156,-2.89306641,0.00000000,0.00000000,0.00000000,0.00000000
111.424062,12060,0.09029074,0.04382135,-4.89257812,-3.11279297,0.00000000,0.00000000,0.00000000,0.00000000
